Id,Label,Node_Weights
ebooks,ebooks,14
edelweiss,edelweiss,16
education,education,18
engl-420,engl-420,11
english,english,10
europe,europe,11
family,family,24
fantasy,fantasy,40
favorite-graphic-novels,favorite-graphic-novels,10
favorites,favorites,364
favourites,favourites,34
feminism,feminism,34
feminist,feminist,18
fiction,fiction,45
film,film,13
first-reads,first-reads,21
five-star-books,five-star-books,11
five-stars,five-stars,18
format-graphic-novel,format-graphic-novel,11
france,france,29
french,french,19
from-library,from-library,37
from-the-library,from-the-library,11
genre-graphic-novel,genre-graphic-novel,11
giveaways,giveaways,24
gn,gn,39
gn-art-bio,gn-art-bio,10
gn-bio,gn-bio,45
gn-european,gn-european,12
gn-music,gn-music,10
graphic,graphic,289
graphic_novel,graphic_novel,25
graphic_novels,graphic_novels,20
graphica-and-comix,graphica-and-comix,20
graphic-bio,graphic-bio,12
graphic-biography,graphic-biography,10
graphic-books,graphic-books,39
graphic-comic,graphic-comic,23
graphic-comic-narrative,graphic-comic-narrative,38
graphic-format,graphic-format,12
graphic-history,graphic-history,28
graphic-manga,graphic-manga,10
graphic-memoir,graphic-memoir,48
graphic-memoirs,graphic-memoirs,16
graphic-nonfiction,graphic-nonfiction,38
graphic-non-fiction,graphic-non-fiction,22
graphicnovel,graphicnovel,24
graphic-novel,graphic-novel,2348
graphic-novel-comic,graphic-novel-comic,51
graphic-novel-comics,graphic-novel-comics,31
graphic-novel-manga,graphic-novel-manga,25
graphic-novel-or-comic,graphic-novel-or-comic,13
graphicnovels,graphicnovels,62
graphic-novels,graphic-novels,3023
graphic-novels-and-comics,graphic-novels-and-comics,111
graphic-novels-and-graphic-nonfic,graphic-novels-and-graphic-nonfic,10
graphic-novels-and-manga,graphic-novels-and-manga,11
graphic-novels-comic-books,graphic-novels-comic-books,22
graphic-novels-comics,graphic-novels-comics,168
graphic-novels-comics-manga,graphic-novels-comics-manga,14
graphic-novels-manga,graphic-novels-manga,39
graphic-novels-or-comics,graphic-novels-or-comics,12
graphic-novels-read,graphic-novels-read,18
graphics,graphics,68
graphics-comics,graphics-comics,19
graphic-sequential-art,graphic-sequential-art,12
graphix,graphix,15
high-school,high-school,14
historical,historical,259
historical-fiction,historical-fiction,141
history,history,1044
history-biography,history-biography,13
holocaust,holocaust,15
hoopla,hoopla,14
horror,horror,42
illustrated,illustrated,14
japan,japan,12
kindle,kindle,16
lgbt,lgbt,14
lgbtq,lgbtq,36
lgbtqia,lgbtqia,14
library,library,185
library-book,library-book,63
library-books,library-books,52
manga,manga,18
manga-graphic-novel,manga-graphic-novel,11
manga-graphic-novels,manga-graphic-novels,13
memoir,memoir,513
memoir-autobiography,memoir-autobiography,13
memoir-bio,memoir-bio,25
memoir-biography,memoir-biography,58
memoirs,memoirs,107
memoirs-biographies,memoirs-biographies,13
middle-grade,middle-grade,19
middle-school,middle-school,15
multicultural,multicultural,11
multicultural-lit,multicultural-lit,18
music,music,70
netgalley,netgalley,116
net-galley,net-galley,10
netgalley-edelweiss,netgalley-edelweiss,20
nonfic,nonfic,33
non-fic,non-fic,24
nonfiction,nonfiction,851
non-fiction,non-fiction,1124
non-fiction-or-based-on,non-fiction-or-based-on,12
own,own,76
owned,owned,69
owned-books,owned-books,15
own-it,own-it,10
own-physical,own-physical,12
poc,poc,13
poc-authors,poc-authors,12
politics,politics,42
project-lit,project-lit,10
public-library,public-library,13
queer,queer,15
race,race,24
racism,racism,14
read-2017,read-2017,21
read-2018,read-2018,11
read-2019,read-2019,12
read-2020,read-2020,16
read-2022,read-2022,24
read-comics,read-comics,26
read-harder-2018,read-harder-2018,11
read-in-2013,read-in-2013,12
read-in-2015,read-in-2015,14
read-in-2016,read-in-2016,16
read-in-2017,read-in-2017,29
read-in-2018,read-in-2018,31
read-in-2019,read-in-2019,24
read-in-2020,read-in-2020,19
read-in-2021,read-in-2021,34
read-in-2022,read-in-2022,14
read-in-2023,read-in-2023,16
read-in-english,read-in-english,11
reviewed,reviewed,55
science,science,50
sequential-art,sequential-art,22
series,series,20
social-justice,social-justice,34
teen,teen,30
top-shelf,top-shelf,11
true-crime,true-crime,67
usa,usa,10
war,war,10
world-war-ii,world-war-ii,10
wwii,wwii,18
ya,ya,111
ya-lit,ya-lit,19
ya-nonfiction,ya-nonfiction,11
young-adult,young-adult,140
young-adult-lit,young-adult-lit,14
young-adult-literature,young-adult-literature,17
